strategy,mean_discounted_total_cost,std_discounted_total_cost,mean_total_cost,std_total_cost,mean_total_demand,std_total_demand,activation_periods,withdrawal_periods,C_in,C_out,C_fix,C_qual,C_loss,Salvage
A,17646.852382943787,0.0,18614.039142857044,0.0,1714.216931582298,0.0,0,0,5005.498995852594,13608.54014700445,0.0,0.0,0.0,0.0
B,17603.903417709695,0.0,18375.039287554187,0.0,1783.2685666491236,0.0,1,0,5685.920140053074,10775.189851998017,2547.2758476856407,305.67310172227684,0.0,0.0
C,17721.262639573873,0.0,18506.448739401167,0.0,1806.161855928289,0.0,1,19,5829.692559755627,10984.14224764026,2547.2758476856407,305.67310172227684,0.0,170.6674817949379
