curve_model,loocv_rmse,in_sample_rmse,params_json
exponential,0.11928531714110333,0.10989198876231755,"{""eta"": 0.13653203011845347}"
floor_exponential,0.12194908123601968,0.10921595802700323,"{""floor"": 0.8552389084813873, ""eta"": 17.910341423391607}"
linear_clipped,0.12237557247573347,0.10918757990809691,"{""a"": 0.8773006683862833, ""b"": -0.019409173096937796}"
isotonic_monotone,0.1272263764900247,0.10236349241116792,{}
