horizon,total_A,total_B,total_C,gap_A_minus_B,gap_A_minus_C,gap_B_minus_C,avg_discounted_cost_A,avg_discounted_cost_B,avg_discounted_cost_C,demand_A,demand_B,demand_C,activation_B,activation_C,withdrawal_C
30,17646.093154041493,17603.5580693866,17717.794315340165,42.53508465489358,-71.70116129867165,-114.23624595356523,588.2031051347165,586.7852689795533,590.5931438446721,1714.2536220244033,1783.3572352433207,1806.3114380171758,1,1,19
40,22944.920974453464,22259.86595420877,22621.19135613635,685.0550202446939,323.7296183171129,-361.32540192758097,573.6230243613365,556.4966488552193,565.5297839034088,2270.527143237887,2365.6618333499646,2409.0752641093786,1,1,19
50,28132.394599032563,26888.9674210373,27501.076225412307,1243.4271779952614,631.3183736202554,-612.108804375006,562.6478919806513,537.779348420746,550.0215245082461,2835.3634398775866,2956.7375069501054,3020.727813026333,1,1,19
60,33241.4007892141,31334.60939067589,32189.858160671418,1906.791398538211,1051.5426285426838,-855.2487699955273,554.0233464869017,522.2434898445982,536.4976360111903,3411.2943394687263,3559.2994864612556,3644.1567078162784,1,1,19
70,38090.73854762086,35655.46530254091,36746.365878926124,2435.273245079945,1344.3726686947339,-1090.900576385211,544.1534078231551,509.3637900362988,524.9480839846589,3980.004595164236,4154.391883173815,4259.910594342952,1,1,19
80,42827.04859363498,39773.80666461393,41087.91348420048,3053.241929021053,1739.135109434501,-1314.1068195865519,535.3381074204373,497.1725833076741,513.598918552506,4557.558980951713,4758.696426430175,4885.184747685099,1,1,19
